Weight,Activity,Age,Height,Income,Sex
92.4,,17,171.9,1.55,Male
49.5,,64,154.3,3.77,Female
63.4,3,14,148.9,2.97,Female
12.9,7,3,93.2,1.55,Male
63.2,,21,165.4,2.2,Female
14.9,7,4,103.2,0.39,Female
9.1,,0,,0.77,Female
68,,50,158,3.64,Female
80.4,,45,154.1,0.31,Female
44.8,5,14,160,0.74,Male
7.3,,0,,1.76,Female
67.4,,48,161.4,2.12,Female
56.6,,14,174,5,Female
4.2,,0,,1.2,Female
80.6,,59,172.6,5,Male
83.8,,61,168.2,,Female
91.2,,40,176.2,4.08,Male
,,72,,2.59,Female
86.9,,27,164,2.74,Female
80.2,,39,158.5,1.42,Female
59.8,,26,146.1,,Female
,,62,178.9,1.41,Male
,,20,,0.84,Male
76.4,,46,157.4,4.78,Female
32.4,7,9,133.2,0.65,Female
52.8,3,10,154.3,2.23,Female
17.2,4,2,,0.31,Male
8,,0,,2.94,Female
51.8,,24,158.4,0,Female
13.3,7,5,,1.65,Male
,7,4,,0.4,Male
27.5,5,7,128.6,0.3,Female
84.9,,45,174.5,5,Male
60.7,,36,164,5,Male
60,,45,161,4.6,Female
78.2,,53,183.3,2.95,Male
89.1,,26,167.7,1.51,Female
60.6,,60,162.7,5,Female
51.3,,58,148.7,1.24,Female
71.7,,16,163.8,3.3,Female
57.3,,73,159.4,5,Female
69.8,,61,160,5,Female
30.8,7,9,137.7,0.92,Female
20.5,7,7,115.2,3.72,Female
67.3,,26,177.4,0.95,Male
91.3,,74,169,1.79,Male
77.7,0,13,164.2,0.46,Male
108.3,,80,176.8,3.75,Male
88.7,7,13,162.5,1.09,Female
,,33,,0.72,Male
10,,1,,0.74,Female
89,,28,189.4,1.32,Male
68.5,,57,166.8,5,Male
53.3,,60,149.6,,Female
,,63,186.5,1.07,Male
87.5,,66,179.1,5,Male
74.3,,28,165.8,0.81,Male
108.2,,58,173.2,,Male
69.1,,46,171.4,1.19,Male
31.7,5,7,122.8,1.23,Male
63.2,,59,165.1,2.12,Male
68.7,,80,164.2,,Male
11,,1,,5,Female
44.5,7,11,147.4,4.02,Male
53.2,,72,150.1,,Female
73.8,,52,164.6,,Male
63.4,,67,154.1,1.2,Male
83.2,,18,176.7,1.42,Male
107.6,,54,165.2,2.12,Male
20.3,3,8,121.2,5,Male
7.7,,1,,0.07,Female
73.8,,72,155.9,3.87,Female
131.6,,38,179,0.69,Male
44.8,0,12,149.9,1.42,Female
78.7,,46,163.7,0.59,Female
48.2,,80,154,0.81,Male
62.5,,26,174.5,4.49,Female
18.5,7,4,110.8,1.03,Male
15.4,7,3,99.6,2.15,Female
19.1,7,5,113.1,2.29,Male
46.7,7,13,159.8,3.07,Male
8.2,,0,,1.99,Male
33.6,7,8,132.5,0.99,Male
50.8,,28,161.6,2.1,Female
13.5,,1,,3.09,Female
45.9,,78,153.7,1.19,Female
64.9,,21,166.2,0.29,Female
44.8,5,10,142.2,2.59,Female
102.3,,24,176.7,5,Male
73.4,,35,159.3,0.32,Female
,4,8,,1.98,Male
18.1,3,2,100.6,4.98,Female
,5,4,,0.88,Male
,,78,,0.56,Male
10.6,,1,,3.33,Female
35.6,6,9,138.7,2.47,Male
14.6,2,3,95.6,0,Male
67.8,,53,163.8,5,Female
81.9,,46,144.2,0.9,Female
27.4,7,6,120.2,1.06,Male
25.6,7,10,129.6,0.65,Male
,,14,,,Female
92.9,,29,166.8,0.35,Female
105.1,,45,166.3,,Male
29.8,7,5,131.8,2.89,Male
15.8,7,4,106.2,0.42,Male
,,45,,5,Female
15.5,,1,,0.63,Female
12,,1,,2.11,Female
12.5,4,3,93.6,0.02,Female
39.7,5,7,136.4,4.23,Female
76,,57,156.3,1.96,Male
64.5,,67,157.2,4.99,Female
79.3,,46,171.6,3.16,Male
45.4,,61,166.5,1.09,Male
140.9,,43,182.4,2.23,Male
69.4,,46,161,2.61,Male
81,,30,156.5,5,Female
77.1,,20,173.4,0,Male
150,,52,174.9,2.99,Male
52.5,,54,153.8,2.81,Female
16.9,7,4,105.6,5,Female
26.4,3,7,117.5,2.82,Female
69.7,,77,166.2,0.88,Male
90.2,,80,175.2,2.39,Male
31.1,1,7,128.8,5,Female
76.4,,33,149.6,0.2,Male
86.9,,35,169.2,0.04,Male
,,41,,2.67,Female
54.1,,80,141.1,1.23,Female
73.5,,58,172.4,,Male
74.3,,37,167.5,1.44,Male
,,45,,4.98,Male
55.4,,25,160.2,3.33,Female
59.2,,61,157.9,0.39,Female
67.5,,62,157.6,3.47,Female
20.8,7,6,117.6,0.61,Male
70.8,,12,163.6,1.77,Female
85.1,,27,149.4,1.58,Female
9.7,,0,,4.98,Female
91.5,,58,170,4.99,Female
102.5,,45,180.1,1.85,Male
64.9,,32,166.3,1.72,Male
110.5,,59,176.6,5,Male
44.4,7,12,156.4,1.47,Male
12.5,7,2,83.5,0.33,Male
84.4,,24,172.6,2.55,Female
62.2,,78,162,0.98,Male
62.9,,19,174.4,5,Male
118.1,,21,,1.51,Male
,7,10,,,Male
80.2,,51,174.9,1.38,Male
63.3,,16,184.4,5,Male
18.8,5,5,114.1,,Female
74,,67,151.1,0.82,Female
18.1,7,4,107.3,0.74,Female
41.4,0,13,155.9,1.03,Female
73.2,,18,176,5,Male
93.3,,67,157.4,0.04,Female
31.6,5,9,137.1,2.82,Female
18,2,4,104.9,2.46,Female
69.4,5,14,170.5,1.34,Female
,,65,,,Male
96.7,,59,160.6,2.88,Female
66.3,,56,167.6,5,Male
165.6,,31,184,1.81,Male
82.1,,36,172,5,Male
84,,16,163.1,1.83,Female
115,,44,163.5,3.12,Male
9.7,,1,,5,Male
81.8,,56,162.2,,Female
66,,60,165.7,1.14,Male
88.6,,64,188.4,1.19,Male
61.9,,36,173.7,,Male
76.7,,38,152.4,2.38,Male
82.8,,43,159.6,0.75,Female
142.1,,28,156.8,2.3,Female
49.4,,75,158.6,2.69,Female
79.8,,61,167.5,1.93,Male
69.3,,17,181.6,1.48,Male
78.3,,40,166.6,,Female
101.1,,47,167.8,1.44,Female
65.9,,75,163.2,0.78,Male
19.5,2,3,98.3,0.07,Male
78.1,,25,162.1,1.07,Female
92.2,,74,185.1,5,Male
6.3,,0,,1.75,Female
137.1,,50,170.7,,Male
52.3,,42,154.3,3.87,Female
62.9,,16,154.2,1.23,Female
6.7,,0,,1.86,Female
79.5,,43,165.9,2.51,Female
60.1,,57,159.8,3.48,Female
57.3,,16,160.5,4.12,Female
71.4,,29,163.5,0.35,Female
9.7,,0,,0.53,Male
9.7,,0,,2.23,Male
70.6,,20,178.2,2.15,Male
30.7,7,10,131.9,0.85,Male
45.5,3,14,148.7,0.28,Female
53.8,5,10,156.8,2.67,Female
13,,1,,0.56,Male
61.1,,63,175.4,2.14,Male
6.9,,0,,0.62,Male
25.4,7,7,123.1,1.17,Female
16,7,5,100.6,0.05,Male
64.2,,60,161.5,1.26,Male
15.6,7,2,97,0.62,Male
10.7,,0,,3.12,Female
32.3,7,7,128.5,1.05,Male
58.8,,61,162.4,1.65,Male
78.6,,76,168.5,0.49,Male
,,0,,0.44,Female
,,58,,,Male
12,7,2,86.8,2.39,Female
67.7,,26,175,1.22,Male
48.1,7,12,155.8,0.25,Male
116.2,,67,177.5,1.84,Male
,7,11,,5,Male
58.1,,63,162.3,1.49,Male
50.9,5,11,156.2,2.18,Male
14.4,,1,,2.46,Male
59.9,,26,167.2,1.02,Female
124.9,,28,155.8,0.46,Female
80.9,3,14,165.3,1.36,Female
105.3,,56,165.3,1.15,Female
104.2,,77,173.2,2.51,Male
42.5,5,12,151,1.76,Male
55.8,,18,161,3.98,Female
36.8,7,9,138.2,3.23,Female
74.5,,70,165.4,2.16,Female
86.2,,44,162.6,0.54,Female
65.8,7,13,160.1,1,Female
78.1,,34,174.5,1.23,Male
24.3,7,10,126.6,2.55,Female
25,7,4,113.7,2.02,Male
95.7,,30,173.7,1.69,Male
80.2,,36,155,1.05,Female
55.1,,54,142.9,,Female
71.4,,41,177.8,5,Male
70.7,,23,177.7,1.59,Male
69.7,,58,153.8,1.18,Female
18.4,0,7,117.1,1.04,Female
67.3,4,12,172.5,,Male
59.9,,36,158.1,5,Female
124,,51,188.1,4.68,Male
78.2,,25,154.7,,Female
85.1,,72,171.1,1.81,Male
93,,74,190.9,3.43,Male
,,68,,4.39,Female
51.2,2,8,137.5,1.41,Male
75.5,,36,153.2,0.36,Female
7.1,,0,,0.08,Female
39.2,3,8,131.5,0.38,Male
